study_year,poverty_families,poverty_individuals,median_income_2018,total_population,median_center_infant,median_family_infant,county_name,state_name,state_abbreviation
2012,12.9,18.9,44364.1,9577,NA,NA,Wilkinson County,Georgia,GA
2013,17.3,21.3,39066.84,9520,NA,NA,Wilkinson County,Georgia,GA
2014,16.1,19.9,39493.48,9455,NA,NA,Wilkinson County,Georgia,GA
2015,14.6,17.7,40794.1,9386,NA,NA,Wilkinson County,Georgia,GA
2016,17,20.8,40768.35,9312,95,85,Wilkinson County,Georgia,GA
2017,19.4,23.3,39872.33,9147,NA,NA,Wilkinson County,Georgia,GA
2018,19.9,25,37583,9078,NA,NA,Wilkinson County,Georgia,GA
2008,14.4,19.1,44698.2,21337,NA,NA,Worth County,Georgia,GA
2009,16.6,21.4,42947.19,21351,NA,NA,Worth County,Georgia,GA
2010,15.6,20.8,44857.2,21712,NA,NA,Worth County,Georgia,GA
2011,15.4,22.6,42936.32,21741,NA,NA,Worth County,Georgia,GA
2012,14.8,21.9,43125.5,21746,NA,NA,Worth County,Georgia,GA
2013,15.5,20.2,38655.36,21670,NA,NA,Worth County,Georgia,GA
2014,16.9,20.5,40639.34,21365,NA,NA,Worth County,Georgia,GA
2015,16.5,21.2,40252.44,21156,NA,NA,Worth County,Georgia,GA
2016,15.4,18.4,40618.2,20988,95,85,Worth County,Georgia,GA
2017,18.9,21.5,41580.07,20809,NA,NA,Worth County,Georgia,GA
2018,17.4,20.8,46076,20656,NA,NA,Worth County,Georgia,GA
2008,9.3,13.4,67276.15,172464,NA,NA,Hawaii County,Hawaii,HI
2009,9.8,13.5,65104.65,172370,NA,NA,Hawaii County,Hawaii,HI
2010,10.3,14.4,63795.36,180362,NA,NA,Hawaii County,Hawaii,HI
2011,10.6,15.8,60021.92,182997,NA,138.46,Hawaii County,Hawaii,HI
2012,12.2,17,57307.8,185399,NA,138.46,Hawaii County,Hawaii,HI
2013,13.5,18.3,55350,187044,NA,138.46,Hawaii County,Hawaii,HI
2014,14,19.2,54285.78,189382,NA,138.46,Hawaii County,Hawaii,HI
2015,14.1,19.5,55234.48,191482,NA,138.46,Hawaii County,Hawaii,HI
2016,14.1,18.7,56632.8,193680,NA,138.46,Hawaii County,Hawaii,HI
2017,12.7,17.4,58086.85,196325,NA,150,Hawaii County,Hawaii,HI
2018,11.9,16.6,59297,197658,NA,115.38,Hawaii County,Hawaii,HI
2008,5.7,8.2,78953.25,903231,NA,NA,Honolulu County,Hawaii,HI
2009,6.4,8.9,78467.22,902564,NA,NA,Honolulu County,Hawaii,HI
2010,6.1,8.8,81307.88,936984,NA,NA,Honolulu County,Hawaii,HI
2011,6.5,9.3,79814.56,944287,222.12,154.62,Honolulu County,Hawaii,HI
2012,6.7,9.6,79521.2,955215,253.85,156.92,Honolulu County,Hawaii,HI
2013,6.9,9.8,78585.12,964678,285.58,159.23,Honolulu County,Hawaii,HI
2014,6.6,9.8,77995.86,975690,317.31,161.54,Honolulu County,Hawaii,HI
2015,6.5,9.7,78927.6,984178,323.08,166.15,Honolulu County,Hawaii,HI
2016,6.1,9.5,81019.05,986999,263.08,173.08,Honolulu County,Hawaii,HI
2017,5.9,9.1,82480.34,990060,276.92,184.62,Honolulu County,Hawaii,HI
2018,5.7,8.7,82906,987638,346.15,184.62,Honolulu County,Hawaii,HI
2008,0,7.83,55179.17,86,NA,NA,Kalawao County,Hawaii,HI
2009,0,3.8,61791.21,78,NA,NA,Kalawao County,Hawaii,HI
2010,0,4.1,48494.96,74,NA,NA,Kalawao County,Hawaii,HI
2011,0,7.1,63700,57,NA,NA,Kalawao County,Hawaii,HI
2012,0,10.9,72875,66,NA,NA,Kalawao County,Hawaii,HI
2013,0,14.7,64125,71,NA,NA,Kalawao County,Hawaii,HI
2014,0,17.6,64925,73,NA,NA,Kalawao County,Hawaii,HI
2015,0,15.2,70225,85,NA,NA,Kalawao County,Hawaii,HI
2016,0,12.9,68906.25,91,NA,NA,Kalawao County,Hawaii,HI
2017,20,12.7,63602.5,86,NA,NA,Kalawao County,Hawaii,HI
2018,25,10.6,61875,75,NA,NA,Kalawao County,Hawaii,HI
2008,7,8,71712.85,62800,NA,NA,Kauai County,Hawaii,HI
2009,7.1,9.5,74080.89,63033,NA,NA,Kauai County,Hawaii,HI
2010,6.5,8.8,72535.96,65460,NA,NA,Kauai County,Hawaii,HI
2011,7.2,10,72152.64,66306,NA,138.46,Kauai County,Hawaii,HI
2012,7.7,11,71227.2,67113,NA,138.46,Kauai County,Hawaii,HI
2013,7.7,11.2,67016.16,67872,NA,138.46,Kauai County,Hawaii,HI
2014,8,11.7,66722.76,68745,NA,138.46,Kauai County,Hawaii,HI
2015,7.3,10.7,69007.06,69691,NA,138.46,Kauai County,Hawaii,HI
2016,6.1,9.6,71635.2,70447,NA,150,Kauai County,Hawaii,HI
2017,6.6,9.1,74499.9,71093,NA,150,Kauai County,Hawaii,HI
2018,6.3,8.5,78482,71377,NA,155.77,Kauai County,Hawaii,HI
2008,5.5,7.9,73972.6,141698,NA,NA,Maui County,Hawaii,HI
2009,5.3,7.9,74481.03,142196,NA,NA,Maui County,Hawaii,HI
2010,6.1,8.9,74227.24,150711,NA,NA,Maui County,Hawaii,HI
2011,6.4,9.2,72332.96,152907,NA,135.58,Maui County,Hawaii,HI
2012,7.5,10.3,70463.8,154937,NA,136.15,Maui County,Hawaii,HI
2013,7.4,10.6,68592.96,156633,NA,136.73,Maui County,Hawaii,HI
2014,8,11.4,68441.02,158814,NA,137.31,Maui County,Hawaii,HI
2015,7.7,11,70464.56,160863,NA,138.46,Maui County,Hawaii,HI
2016,6.8,9.8,72215.85,162456,NA,138.46,Maui County,Hawaii,HI
2017,6.6,10,74944.86,164094,NA,144.23,Maui County,Hawaii,HI
2018,6.6,9.7,77117,165281,NA,144.23,Maui County,Hawaii,HI
2008,5.3,8,65191.2,371649,NA,NA,Ada County,Idaho,ID
2009,6.6,9.4,65388.96,368791,NA,NA,Ada County,Idaho,ID
2010,6.9,10.2,64768.6,380718,NA,NA,Ada County,Idaho,ID
2011,7.7,11.2,61940.48,388174,NA,NA,Ada County,Idaho,ID
2012,8.4,12.2,61048.9,394961,150.24,106.55,Ada County,Idaho,ID
2013,9,13.1,59626.8,401673,148.9,113.13,Ada County,Idaho,ID
2014,8.6,12.8,59153.3,409239,147.55,119.72,Ada County,Idaho,ID
2015,8.1,12.3,59737.36,417501,146.2,126.3,Ada County,Idaho,ID
2016,7.7,12.2,61003.95,425798,157.39,131.74,Ada County,Idaho,ID
2017,7.1,11.8,61955.53,435117,168.58,137.18,Ada County,Idaho,ID
2018,6.7,11,63137,446052,179.77,142.62,Ada County,Idaho,ID
2008,8.68,11.99,41714.72,3515,NA,NA,Adams County,Idaho,ID
2009,8.3,11.6,43588.35,3520,NA,NA,Adams County,Idaho,ID
2010,8.8,12.4,41764.64,3942,NA,NA,Adams County,Idaho,ID
2011,7.1,11.3,41266.4,3980,NA,NA,Adams County,Idaho,ID
2012,10.5,13.8,39331.6,3976,100.59,102.63,Adams County,Idaho,ID
2013,11.5,16.6,38268.72,3937,97.29,98.81,Adams County,Idaho,ID
2014,8.4,14.6,40897.98,3908,93.98,95,Adams County,Idaho,ID
2015,7.4,12.9,41938.9,3880,90.68,91.18,Adams County,Idaho,ID
2016,8.2,14.6,43401.75,3865,95.11,93.71,Adams County,Idaho,ID
2017,7.6,13.8,44008.81,3946,101.88,96.24,Adams County,Idaho,ID
2018,6.5,11.4,45319,4019,108.65,98.77,Adams County,Idaho,ID
2008,11.2,14.1,52983.95,80041,NA,NA,Bannock County,Idaho,ID
2009,12,15,51669.54,80428,NA,NA,Bannock County,Idaho,ID
2010,10.6,14,52023.68,80701,NA,NA,Bannock County,Idaho,ID
2011,10.7,14.6,50788.64,81730,NA,NA,Bannock County,Idaho,ID
2012,10,14.1,50446,82584,98.84,98.23,Bannock County,Idaho,ID
2013,10.7,15.5,47016.72,83091,97.29,98.81,Bannock County,Idaho,ID
2014,10.5,16.1,46590.18,83394,99.13,99.39,Bannock County,Idaho,ID
2015,12.8,18.8,46405.74,83604,100.97,99.97,Bannock County,Idaho,ID
2016,12.6,18.3,47476.8,83815,101.88,99.57,Bannock County,Idaho,ID
2017,12,17.6,48811.7,84113,103.03,99.17,Bannock County,Idaho,ID
2018,11.4,17,49739,85065,108.65,98.77,Bannock County,Idaho,ID
2008,11.46,12.71,49356.21,5920,NA,NA,Bear Lake County,Idaho,ID
2009,12,13.1,51787.71,5859,NA,NA,Bear Lake County,Idaho,ID
2010,11.2,13.9,50313.84,6026,NA,NA,Bear Lake County,Idaho,ID
2011,11.5,13.6,49164.64,6013,NA,NA,Bear Lake County,Idaho,ID
2012,13.9,15.4,44266.2,5977,100.59,102.63,Bear Lake County,Idaho,ID
2013,11.7,12.9,48561.12,5957,97.29,98.81,Bear Lake County,Idaho,ID
2014,9.8,13.2,47672.44,5941,93.98,95,Bear Lake County,Idaho,ID
2015,9.7,12.9,51573.24,5939,90.68,91.18,Bear Lake County,Idaho,ID
2016,10.7,14.5,49206.15,5928,95.11,93.71,Bear Lake County,Idaho,ID
2017,11.5,14.5,52121.09,5942,101.88,96.24,Bear Lake County,Idaho,ID
2018,12.5,16.9,54265,5962,108.65,98.77,Bear Lake County,Idaho,ID
2008,10.23,14.72,43074.02,9238,NA,NA,Benewah County,Idaho,ID
2009,10.2,14.8,44691.66,9246,NA,NA,Benewah County,Idaho,ID
2010,11.2,15.2,43500,9302,NA,NA,Benewah County,Idaho,ID
2011,11.9,14.7,42008.96,9293,NA,NA,Benewah County,Idaho,ID
2012,11.5,14.5,42389.6,9247,98.84,98.23,Benewah County,Idaho,ID
2013,11.3,14.7,42172.92,9186,97.29,98.81,Benewah County,Idaho,ID
2014,11.3,15.6,41300.78,9149,99.13,99.39,Benewah County,Idaho,ID
2015,11.7,16.6,42254.78,9088,100.97,99.97,Benewah County,Idaho,ID
2016,10.5,16.8,44730,9068,108.47,105.11,Benewah County,Idaho,ID
2017,9.3,15.8,44776.16,9050,119.28,110.25,Benewah County,Idaho,ID
2018,9.5,16.7,46507,9086,133.02,115.38,Benewah County,Idaho,ID
2008,10.8,12.7,50866.8,43430,NA,NA,Bingham County,Idaho,ID
2009,12.9,15.2,51924.6,43635,NA,NA,Bingham County,Idaho,ID
2010,13.2,14.7,51188.48,44496,NA,NA,Bingham County,Idaho,ID
2011,12.9,15.4,51709.28,45002,NA,NA,Bingham County,Idaho,ID
2012,13.7,15.4,51498.7,45312,100.59,102.63,Bingham County,Idaho,ID
2013,13.8,15.2,51776.28,45485,97.29,98.81,Bingham County,Idaho,ID
2014,11.8,13.9,50973.28,45558,93.98,95,Bingham County,Idaho,ID
2015,10.5,13.5,53164.3,45407,90.68,91.18,Bingham County,Idaho,ID
2016,10.5,13.4,52440.15,45261,95.11,93.71,Bingham County,Idaho,ID
2017,10.6,13.1,52846.21,45369,101.88,96.24,Bingham County,Idaho,ID
2018,9.8,12.5,51288,45551,108.65,98.77,Bingham County,Idaho,ID
2008,5.1,10,74610.85,21500,NA,NA,Blaine County,Idaho,ID
2009,5.8,10.6,66223.17,21775,NA,NA,Blaine County,Idaho,ID
2010,4.9,9.3,71750.64,21329,NA,NA,Blaine County,Idaho,ID
2011,4,7.8,70454.72,21354,NA,NA,Blaine County,Idaho,ID
2012,5.1,8.9,66176,21323,272.15,264.2,Blaine County,Idaho,ID
2013,5.8,8.3,69165.36,21294,228.6,218.24,Blaine County,Idaho,ID
2014,8.7,10.8,66238.34,21269,186.19,172.27,Blaine County,Idaho,ID
2015,8.2,10.4,63693.28,21309,146.2,126.3,Blaine County,Idaho,ID
2016,10.4,12.7,60990.3,21427,157.39,131.74,Blaine County,Idaho,ID
2017,11.5,14.8,60600.05,21583,168.58,137.18,Blaine County,Idaho,ID
2018,10.8,14,51968,21994,179.77,142.62,Blaine County,Idaho,ID
2008,6.6,12.72,55376.21,7378,NA,NA,Boise County,Idaho,ID
2009,6.3,12.7,57728.97,7467,NA,NA,Boise County,Idaho,ID
2010,8.9,16.3,56595.24,7122,NA,NA,Boise County,Idaho,ID
2011,9.8,17.3,52783.36,7094,NA,NA,Boise County,Idaho,ID
2012,10.2,15.4,49943.3,7014,97.29,85.07,Boise County,Idaho,ID
2013,10.9,17,44340.48,6944,97.29,98.81,Boise County,Idaho,ID
2014,10.8,15.9,43665.64,6880,121.35,112.56,Boise County,Idaho,ID
2015,10.6,14.5,46892.28,6885,146.2,126.3,Boise County,Idaho,ID
2016,8.9,13.7,46820.55,6891,157.39,131.74,Boise County,Idaho,ID
2017,6.7,11.3,51462.92,6968,168.58,137.18,Boise County,Idaho,ID
2018,9.5,13.1,53942,7163,179.77,142.62,Boise County,Idaho,ID
2008,11.2,13.8,49903.1,40838,NA,NA,Bonner County,Idaho,ID
2009,8.7,13.4,50001.12,40878,NA,NA,Bonner County,Idaho,ID
2010,10.1,14.3,48653.88,40711,NA,NA,Bonner County,Idaho,ID
2011,11.9,15.2,48147.68,40849,NA,NA,Bonner County,Idaho,ID
2012,12.6,16.3,45516.9,40806,150.24,106.55,Bonner County,Idaho,ID
2013,10.7,15.2,44727.12,40743,148.9,113.13,Bonner County,Idaho,ID
2014,11.1,15.6,44391.74,40899,147.55,119.72,Bonner County,Idaho,ID
2015,11,15.3,44701.26,41066,146.2,126.3,Bonner County,Idaho,ID
2016,9.7,15,45881.85,41389,141.81,122.66,Bonner County,Idaho,ID
2017,8.6,14,46975.21,41855,137.41,119.02,Bonner County,Idaho,ID
2018,9.6,14.7,48710,42711,133.02,115.38,Bonner County,Idaho,ID
2008,7.1,10.6,58916.8,96304,NA,NA,Bonneville County,Idaho,ID
2009,7.3,10.3,58292.91,96238,NA,NA,Bonneville County,Idaho,ID
2010,8.1,11,58516.2,100213,NA,NA,Bonneville County,Idaho,ID
2011,8.2,10.6,57468.32,102422,NA,NA,Bonneville County,Idaho,ID
2012,9.4,11.6,56379.4,104177,150.24,106.55,Bonneville County,Idaho,ID
2013,8.9,11.4,54941.76,105580,148.9,113.13,Bonneville County,Idaho,ID
2014,9.9,12.7,53950.82,106703,147.55,119.72,Bonneville County,Idaho,ID
2015,10.2,13.2,53807.72,107788,146.2,126.3,Bonneville County,Idaho,ID
2016,9.4,12.7,55472.55,108989,141.81,122.66,Bonneville County,Idaho,ID
2017,8.7,11.9,55774.5,110404,137.41,119.02,Bonneville County,Idaho,ID
2018,8.9,12.1,56609,112397,133.02,115.38,Bonneville County,Idaho,ID
2008,13.54,18.37,40254.34,10651,NA,NA,Boundary County,Idaho,ID
2009,13.8,18.7,41503.41,10748,NA,NA,Boundary County,Idaho,ID
2010,15.7,18.8,43745.92,10792,NA,NA,Boundary County,Idaho,ID
2011,14.1,17.9,39562.88,10845,NA,NA,Boundary County,Idaho,ID
2012,14.7,16.1,39930,10857,100.59,102.63,Boundary County,Idaho,ID
2013,15.5,16.5,39963.24,10866,97.29,98.81,Boundary County,Idaho,ID
2014,13.4,16.3,41556.24,10903,93.98,95,Boundary County,Idaho,ID
2015,12,15.3,41298.66,10961,90.68,91.18,Boundary County,Idaho,ID
2016,13.4,16.6,41242.95,11141,103.23,99.25,Boundary County,Idaho,ID
2017,12.9,18.3,40697.36,11323,118.12,107.32,Boundary County,Idaho,ID
2018,10.9,16.8,43507,11549,133.02,115.38,Boundary County,Idaho,ID
2008,12.48,16.24,38883.42,2783,NA,NA,Butte County,Idaho,ID
2009,12.2,16,40047.93,2769,NA,NA,Butte County,Idaho,ID
2010,9,13.8,45719.08,2842,NA,NA,Butte County,Idaho,ID
2011,13,16.1,42359.52,2848,NA,NA,Butte County,Idaho,ID
2012,10.7,14.3,44165,2828,100.59,102.63,Butte County,Idaho,ID
2013,11.3,15.7,44421.48,2786,97.29,98.81,Butte County,Idaho,ID
2014,11.3,15.6,43460,2734,93.98,95,Butte County,Idaho,ID
2015,13.5,17.6,40164.46,2653,90.68,91.18,Butte County,Idaho,ID
2016,12.6,15.5,41635.65,2592,95.11,93.71,Butte County,Idaho,ID
2017,11.7,16.2,44503.21,2613,101.88,96.24,Butte County,Idaho,ID
2018,12.5,16.2,42250,2602,108.65,98.77,Butte County,Idaho,ID
2008,14.22,15.06,55593.43,1035,NA,NA,Camas County,Idaho,ID
2009,15.1,15.9,58633.38,1040,NA,NA,Camas County,Idaho,ID
2010,14.1,16.3,51208.2,1216,NA,NA,Camas County,Idaho,ID
2011,12.3,15.1,46126.08,1235,NA,NA,Camas County,Idaho,ID
2012,12.6,15,44566.5,1276,98.84,98.23,Camas County,Idaho,ID
2013,9.3,15.5,44446.32,1267,97.29,98.81,Camas County,Idaho,ID
2014,9.9,17.9,43725,1156,99.13,99.39,Camas County,Idaho,ID
2015,12.1,21.8,45170.84,1052,100.97,99.97,Camas County,Idaho,ID
2016,13.8,19.8,44843.4,968,101.88,99.57,Camas County,Idaho,ID
2017,13.6,22.3,37767.01,886,103.03,99.17,Camas County,Idaho,ID
2018,13.6,23.3,38393,886,108.65,98.77,Camas County,Idaho,ID
2008,11.5,15.1,50895.55,177912,NA,NA,Canyon County,Idaho,ID
2009,11.9,16.9,50207.04,176820,NA,NA,Canyon County,Idaho,ID
2010,12.7,17.3,50132.88,182723,NA,NA,Canyon County,Idaho,ID
2011,13.6,18.1,48096.16,186620,NA,NA,Canyon County,Idaho,ID
2012,14.9,19.6,46960.1,189396,98.84,98.23,Canyon County,Idaho,ID
2013,15.5,20.4,45473.4,192153,97.29,98.81,Canyon County,Idaho,ID
2014,15.1,20.4,45694.48,195353,99.13,99.39,Canyon County,Idaho,ID
2015,14.2,19.4,45461.28,198921,100.97,99.97,Canyon County,Idaho,ID
2016,13.5,18.7,47103,202782,108.47,105.11,Canyon County,Idaho,ID
2017,11.5,17.1,47818.78,207027,119.28,110.25,Canyon County,Idaho,ID
2018,10.3,15.2,49143,212230,133.02,115.38,Canyon County,Idaho,ID
2008,5.13,8.71,49699.55,6934,NA,NA,Caribou County,Idaho,ID
2009,4.9,8.6,51384.06,6888,NA,NA,Caribou County,Idaho,ID
2010,4.2,8.4,52151.28,6900,NA,NA,Caribou County,Idaho,ID
2011,4.7,9.4,55708.8,6893,NA,NA,Caribou County,Idaho,ID
2012,3.7,7.7,57347.4,6872,100.59,102.63,Caribou County,Idaho,ID
2013,3.7,7.8,57872.88,6867,97.29,98.81,Caribou County,Idaho,ID
2014,5.8,9.1,57749.86,6857,93.98,95,Caribou County,Idaho,ID
2015,4.7,8.3,61502.26,6808,90.68,91.18,Caribou County,Idaho,ID
2016,6.5,10.2,60854.85,6813,95.11,93.71,Caribou County,Idaho,ID
2017,6.1,9.4,60512.5,6862,101.88,96.24,Caribou County,Idaho,ID
2018,6,8.5,59611,6918,108.65,98.77,Caribou County,Idaho,ID
2008,12.9,15.3,45894.2,20996,NA,NA,Cassia County,Idaho,ID
2009,13.9,16.4,45825.39,21154,NA,NA,Cassia County,Idaho,ID
2010,12.4,15.4,46244.56,22109,NA,NA,Cassia County,Idaho,ID
2011,13.9,18,44297.12,22491,NA,NA,Cassia County,Idaho,ID
2012,12.6,16.1,47342.9,22813,98.84,98.23,Cassia County,Idaho,ID
2013,11.8,15.9,45402.12,23054,97.29,98.81,Cassia County,Idaho,ID
2014,10.1,14.6,47537.82,23275,99.13,99.39,Cassia County,Idaho,ID
2015,12.6,16,48436.7,23369,100.97,99.97,Cassia County,Idaho,ID
2016,12.1,15.5,48525.75,23441,108.47,105.11,Cassia County,Idaho,ID
2017,11.5,14.7,49606.86,23472,119.28,110.25,Cassia County,Idaho,ID
2018,11,14.3,50918,23615,133.02,115.38,Cassia County,Idaho,ID
2008,17.1,16.26,43293.16,988,NA,NA,Clark County,Idaho,ID
2009,16.9,15.8,44933.85,984,NA,NA,Clark County,Idaho,ID
2010,8.7,11.3,47454.44,857,NA,NA,Clark County,Idaho,ID
2011,7.1,11.9,44567.04,847,NA,NA,Clark County,Idaho,ID
2012,11,14.2,39416.3,780,100.59,102.63,Clark County,Idaho,ID
2013,12.3,14.9,35856,751,97.29,98.81,Clark County,Idaho,ID
2014,22.6,27.8,34736.2,823,93.98,95,Clark County,Idaho,ID
2015,14.8,18.1,35692.32,901,90.68,91.18,Clark County,Idaho,ID
2016,21,27.1,34043.1,960,95.11,93.71,Clark County,Idaho,ID
2017,19.3,24.2,32884.81,1055,101.88,96.24,Clark County,Idaho,ID
2018,14.2,19.7,35341,1077,108.65,98.77,Clark County,Idaho,ID
2008,8.9,11.72,46903.52,8274,NA,NA,Clearwater County,Idaho,ID
2009,8.8,11.5,48993.75,8192,NA,NA,Clearwater County,Idaho,ID
2010,9,11.7,48528.6,8766,NA,NA,Clearwater County,Idaho,ID
2011,6.8,10.3,47088.16,8753,NA,NA,Clearwater County,Idaho,ID
2012,7,11.3,46105.4,8679,100.59,102.63,Clearwater County,Idaho,ID
2013,7.2,12.5,43344.72,8638,97.29,98.81,Clearwater County,Idaho,ID
2014,8.7,13.3,42135,8600,93.98,95,Clearwater County,Idaho,ID
2015,9.2,13.1,41167.22,8560,90.68,91.18,Clearwater County,Idaho,ID
2016,9.4,13.1,42279.3,8528,103.23,99.25,Clearwater County,Idaho,ID
2017,11.1,13.9,42355.66,8533,118.12,107.32,Clearwater County,Idaho,ID
2018,9.8,13.4,42348,8640,133.02,115.38,Clearwater County,Idaho,ID
2008,8.12,12.17,47001.52,4153,NA,NA,Custer County,Idaho,ID
2009,7.8,11.9,49090.86,4129,NA,NA,Custer County,Idaho,ID
2010,10.1,13.8,48615.6,4277,NA,NA,Custer County,Idaho,ID
2011,9.4,15.8,48658.4,4313,NA,NA,Custer County,Idaho,ID
2012,12.7,18.7,45867.8,4338,98.84,98.23,Custer County,Idaho,ID
2013,11.9,16.1,42704.28,4331,97.29,98.81,Custer County,Idaho,ID
2014,14.9,20.3,41797.92,4284,99.13,99.39,Custer County,Idaho,ID
2015,14.5,19.2,41824.42,4234,100.97,99.97,Custer County,Idaho,ID
2016,17.7,20.6,41471.85,4185,122.7,114.19,Custer County,Idaho,ID
2017,15.6,18.9,39115.28,4141,150.45,128.4,Custer County,Idaho,ID
2018,15.8,20.6,39957,4141,179.77,142.62,Custer County,Idaho,ID
2008,8.3,10.2,57762.2,28727,NA,NA,Elmore County,Idaho,ID
2009,9,11.4,51497.55,28791,NA,NA,Elmore County,Idaho,ID
2010,9.2,12,49983.24,26669,NA,NA,Elmore County,Idaho,ID
2011,8.7,11.8,48933.92,26744,NA,NA,Elmore County,Idaho,ID
2012,11.2,15.6,48274.6,26655,98.84,98.23,Elmore County,Idaho,ID
2013,11.7,16.3,46269.36,26528,97.29,98.81,Elmore County,Idaho,ID
2014,13,17,46126.96,26349,99.13,99.39,Elmore County,Idaho,ID
2015,11.6,16.1,46478.88,26175,100.97,99.97,Elmore County,Idaho,ID
2016,12.7,18.1,46666.2,26103,108.47,105.11,Elmore County,Idaho,ID
2017,11.4,14.9,46508.62,26232,119.28,110.25,Elmore County,Idaho,ID
2018,10.5,13.8,46715,26433,133.02,115.38,Elmore County,Idaho,ID
2008,9.31,13.53,50355.31,12167,NA,NA,Franklin County,Idaho,ID
2009,9.8,14.3,52361.01,12272,NA,NA,Franklin County,Idaho,ID
2010,9.4,13.7,52991.12,12497,NA,NA,Franklin County,Idaho,ID
2011,8.9,11.3,51905.28,12650,NA,NA,Franklin County,Idaho,ID
2012,9,11.8,52357.8,12739,100.59,102.63,Franklin County,Idaho,ID
2013,9.6,12.2,48558.96,12801,97.29,98.81,Franklin County,Idaho,ID
2014,11.7,13.5,48274.52,12853,93.98,95,Franklin County,Idaho,ID
2015,11.6,13.2,51020.98,12914,90.68,91.18,Franklin County,Idaho,ID
2016,11.3,12.4,53025,13013,103.23,99.25,Franklin County,Idaho,ID
2017,11.7,12.2,53130.49,13120,118.12,107.32,Franklin County,Idaho,ID
2018,10.6,11.8,56613,13279,133.02,115.38,Franklin County,Idaho,ID
2008,8.88,10.73,48723.2,12457,NA,NA,Fremont County,Idaho,ID
2009,8.7,10.3,50878.62,12537,NA,NA,Fremont County,Idaho,ID
2010,6.8,8.5,49326.68,13062,NA,NA,Fremont County,Idaho,ID
2011,8,10.4,47239.36,13133,NA,NA,Fremont County,Idaho,ID
2012,9.2,10.8,47358.3,13123,100.59,102.63,Fremont County,Idaho,ID
2013,9.5,12.4,48081.6,13088,97.29,98.81,Fremont County,Idaho,ID
2014,10,12,47690.46,13024,93.98,95,Fremont County,Idaho,ID
2015,7.9,10.3,50867.28,12945,90.68,91.18,Fremont County,Idaho,ID
2016,9.2,12,52471.65,12896,95.11,93.71,Fremont County,Idaho,ID
2017,9.5,11.9,53360.18,12889,101.88,96.24,Fremont County,Idaho,ID
2018,11.8,12.7,53311,12965,108.65,98.77,Fremont County,Idaho,ID
2008,9.91,12.83,47180.16,16225,NA,NA,Gem County,Idaho,ID
2009,9.7,12.8,48960.99,16355,NA,NA,Gem County,Idaho,ID
2010,9.7,14.7,49641.04,16778,NA,NA,Gem County,Idaho,ID
2011,10.7,16.5,49775.04,16783,NA,NA,Gem County,Idaho,ID
2012,12.1,17.8,46173.6,16768,100.59,102.63,Gem County,Idaho,ID
2013,10.6,18.2,47986.56,16722,97.29,98.81,Gem County,Idaho,ID
2014,11,18.1,44487.14,16732,93.98,95,Gem County,Idaho,ID
2015,11.3,18,43277.68,16731,90.68,91.18,Gem County,Idaho,ID
2016,15.7,22.2,42805.35,16853,103.23,99.25,Gem County,Idaho,ID
2017,14.9,20.7,44174.64,16850,118.12,107.32,Gem County,Idaho,ID
2018,14.4,18.3,43001,17052,133.02,115.38,Gem County,Idaho,ID
2008,10.58,15.67,42645.07,14302,NA,NA,Gooding County,Idaho,ID
2009,10.5,15.9,44146.44,14320,NA,NA,Gooding County,Idaho,ID
2010,11.1,16.5,43184.48,15140,NA,NA,Gooding County,Idaho,ID
2011,11.3,17.1,45756.48,15285,NA,NA,Gooding County,Idaho,ID
2012,14.5,20.6,41701,15327,98.84,98.23,Gooding County,Idaho,ID
2013,14.3,20.8,40014,15278,97.29,98.81,Gooding County,Idaho,ID
2014,15.2,21.8,40753.82,15241,99.13,99.39,Gooding County,Idaho,ID
2015,12.8,19.4,42325.8,15233,100.97,99.97,Gooding County,Idaho,ID
2016,10.8,15.6,42739.2,15157,101.88,99.57,Gooding County,Idaho,ID
2017,11,15.9,43904.78,15110,103.03,99.17,Gooding County,Idaho,ID
2018,11.1,15.9,48638,15169,108.65,98.77,Gooding County,Idaho,ID
2008,11.52,18.34,38993.05,15311,NA,NA,Idaho County,Idaho,ID
2009,11.4,18.6,40313.52,15286,NA,NA,Idaho County,Idaho,ID
2010,12.7,19.1,40061.76,15947,NA,NA,Idaho County,Idaho,ID
2011,12.5,17.1,41110.72,16108,NA,NA,Idaho County,Idaho,ID
2012,14.4,19.2,40773.7,16215,100.59,102.63,Idaho County,Idaho,ID
2013,13.1,17.5,40336.92,16269,97.29,98.81,Idaho County,Idaho,ID
2014,11.4,15.9,40619.2,16315,93.98,95,Idaho County,Idaho,ID
2015,11.5,16,40482.46,16312,90.68,91.18,Idaho County,Idaho,ID
2016,10.3,16.1,40526.85,16251,95.11,93.71,Idaho County,Idaho,ID
2017,7,13.5,41507.97,16275,101.88,96.24,Idaho County,Idaho,ID
2018,9,14.6,39113,16337,108.65,98.77,Idaho County,Idaho,ID
2008,9.2,11.8,59012.25,22827,NA,NA,Jefferson County,Idaho,ID
2009,8.3,10.8,58711.77,22892,NA,NA,Jefferson County,Idaho,ID
2010,7.7,10.2,59831.64,24523,NA,NA,Jefferson County,Idaho,ID
2011,7.9,10.6,59134.88,25291,NA,NA,Jefferson County,Idaho,ID
2012,7.7,11,58278,25940,98.84,98.23,Jefferson County,Idaho,ID
2013,9.8,13.1,56184.84,26389,97.29,98.81,Jefferson County,Idaho,ID
