how_old_are_you,industry,job_title,annual_salary,currency,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
35-44,Education (Higher Education),Associate Director,85000,USD,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education (Higher Education),Editor,62000,USD,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Law,Staff Attorney,74000,USD,United States,Michigan,Grand Rapids,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White
25-34,Nonprofits,Program Associate,63000,USD,United States,District of Columbia,DC,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Recruitment or HR,Senior People Advisor,45000,GBP,United Kingdom,NA,London,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education (Higher Education),English as a Second Language Teacher,18000,EUR,Spain,NA,N/A,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Nonprofits,Online Sales Support Manager,86000,USD,United States,NA,New York,11 - 20 years,8 - 10 years,College degree,Woman,White
18-24,PhD,PhD Candidate,19000,GBP,UK,NA,Cambridge,2 - 4 years,1 year or less,Master's degree,Man,White
35-44,Education (Higher Education),Research Technologist,42000,USD,USA,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Man,White
55-64,Biopharma,RIM Manager,114000,USD,US,Massachusetts,Cambridge,21 - 30 years,8 - 10 years,College degree,Man,White
45-54,Insurance,Senior Client Service Representative,73000,USD,us,Colorado,Denver,31 - 40 years,31 - 40 years,High School,Woman,White
35-44,Nonprofits,Funding Manager,54000,GBP,UK,NA,London,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Health care,Clinical analyst,100000,USD,Usa,Georgia,Gainesville,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Publishing,Editor,27000,GBP,England,NA,Oxford,11 - 20 years,5-7 years,College degree,Woman,White
18-24,Government and Public Administration,Policy Analyst,60129,USD,United States,District of Columbia,Washington DC,2 - 4 years,1 year or less,Master's degree,Woman,White
45-54,STEM research,Research Scientist,135000,USD,US,Texas,San Antonio,11 - 20 years,11 - 20 years,PhD,Woman,White
25-34,Computing or Tech,Service Designer,130000,USD,United States,Virginia,McLean,11 - 20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Libraries,Librarian,26000,USD,United States,Oklahoma,Ardmore,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White"
25-34,"Accounting, Banking & Finance",Senior Accountant,60000,USD,US,Ohio,Columbus,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Nonprofits,Administrative Assistant,37000,USD,US,Ohio,Shaker Hts,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Engineering or Manufacturing,User experience specialist,85000,USD,USA,South Carolina,Charleston,5-7 years,5-7 years,College degree,Woman,White
35-44,Media & Digital,Self-employed writer,45000,USD,USA,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Nonprofits,Director of Development,92000,USD,United States,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Health care,occupational therapist,35,EUR,finland,NA,helsinki,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Production Technician,65000,USD,United States,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Man,White
35-44,"Marketing, Advertising & PR",Graphic Designer,35000,USD,United States of America,Indiana,Mishawaka,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Compliance Officer,74000,USD,United States,Oklahoma,Tulsa,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Director of Intelligence,102500,USD,United States,Florida,Tampa,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
25-34,Government and Public Administration,Program Analyst,117500,USD,USA,NA,Washington DC,8 - 10 years,5-7 years,Master's degree,NA,"Hispanic, Latino, or Spanish origin"
35-44,Nonprofits,Coordinator of Survivor Services,70000,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Computing or Tech,Software Development Manager,140000,USD,USA,Colorado,Denver,21 - 30 years,11 - 20 years,Some college,Woman,White
35-44,Architecture,Project Architect,58000,USD,USA,New Jersey,Lambertville,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,"Marketing, Advertising & PR",Brand Consultant,400000,USD,United States,New York,Chatham,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Nonprofits,HR director,61200,USD,USA,Illinois,Skokie,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Marketing Director,85000,GBP,United Kingdom,NA,London,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Recruitment or HR,Talent Acquisition Specialist,66000,USD,United States,Georgia,Alpharetta,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Computing or Tech,technical support specialist,70000,USD,USA,Texas,Austin,8 - 10 years,5-7 years,College degree,Woman,Black or African American
25-34,Education (Higher Education),Communications Specialist,52000,USD,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White
45-54,Property or Construction,CAD Manager,75500,USD,United States of America,Florida,Northeast Florida,21 - 30 years,11 - 20 years,Some college,Woman,White
25-34,"Marketing, Advertising & PR",Content Strategist and Writer,57000,USD,USA,Virginia,Richmond,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Nonprofits,Associate,83200,USD,USA,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman,White
18-24,"Marketing, Advertising & PR","Manager, Planning",77500,USD,United States,New York,New York City,2 - 4 years,2 - 4 years,College degree,Woman,"Black or African American, White"
35-44,Retail,Fulfillment Expert,31200,USD,US,Florida,Altamonte Springs,11 - 20 years,1 year or less,College degree,Woman,White
25-34,Health care,Midwife,31000,GBP,UK,NA,Brighton,2 - 4 years,1 year or less,Master's degree,Woman,White
35-44,"Marketing, Advertising & PR",Associate Creative Director,215000,USD,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Academic Medicine,Administrative Specialist,55000,USD,USA,Illinois,Chicago,8 - 10 years,5-7 years,College degree,Man,White
45-54,Law,Senior Corporate Counsel,220000,USD,US,California,San Francisco,11 - 20 years,11 - 20 years,PhD,Woman,Asian or Asian American
25-34,Retail,Head of Data & Analytics,100000,USD,US,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Computing or Tech,Systems Analyst,80000,USD,United States of America,NA,Portland,5-7 years,2 - 4 years,Master's degree,Woman,White
