stockname,timestamp,open,high,low,close,volume
NVDA,2024-12-27,137.54024424519042,137.61565092920387,137.4826669175532,137.53644953435398,NA
NVDA,2024-12-28,136.68097166666666,136.68982166666666,136.66491833333333,136.677475,NA
NVDA,2024-12-30,137.10138473959972,137.19558386822484,137.02217196312742,137.1030809994984,NA
NVDA,2024-12-31,136.30796424363032,136.37986399503643,136.22803523065232,136.30398385068324,NA
NVO,2024-12-14,106.57303571428572,106.63875,106.513975,106.59790357142857,NA
NVO,2024-12-16,NA,NA,NA,NA,NA
NVO,2024-12-17,NA,NA,NA,NA,NA
NVO,2024-12-18,NA,NA,NA,NA,NA
NVO,2024-12-19,NA,NA,NA,NA,NA
NVO,2024-12-20,NA,NA,NA,NA,NA
NVO,2024-12-23,NA,NA,NA,NA,NA
NVO,2024-12-24,NA,NA,NA,NA,NA
NVO,2024-12-26,87.55433801312286,87.58603307607163,87.52483605616473,87.55405955429445,NA
NVO,2024-12-27,88.15208149955572,88.19526192944903,88.1193022305085,88.14823836955935,NA
NVO,2024-12-28,87.346135802469135,87.3506987654321,87.33794074074075,87.34335802469136,NA
NVO,2024-12-30,86.4024714430917,86.44088680891987,86.37327881545662,86.40822300551592,NA
NVO,2024-12-31,85.76227627479616,85.81943580580905,85.73509094048309,85.79333769701245,NA
NXE,2024-12-16,NA,NA,NA,NA,NA
NXE,2024-12-17,NA,NA,NA,NA,NA
NXE,2024-12-18,NA,NA,NA,NA,NA
NXE,2024-12-19,NA,NA,NA,NA,NA
NXE,2024-12-20,NA,NA,NA,NA,NA
NXE,2024-12-21,7.1975,7.1975,7.1975,7.1975,NA
NXE,2024-12-23,NA,NA,NA,NA,NA
NXE,2024-12-24,NA,NA,NA,NA,NA
NXE,2024-12-26,NA,NA,NA,NA,NA
NXE,2024-12-27,NA,NA,NA,NA,NA
NXE,2024-12-28,6.81,6.81,6.81,6.81,NA
NXE,2024-12-30,NA,NA,NA,NA,NA
NXE,2024-12-31,NA,NA,NA,NA,NA
ODD,2024-12-16,NA,NA,NA,NA,NA
